4.4244,5
4.0516,4
3.8059,4
3.832,4
4.3111,4
3.5403,5
3.5865,3
3.5903,3
3.1455,3
3.0499,3
3.3663,4
3.4329,5
2.9613,3
3.4639,3
3.0471,2
3.249,3
3.2675,2
3.2174,4
3.3688,3
4.1778,2
4.1653,5
4.1578,5
3.818,4
3.9652,3
4.0758,4
4.5792,4
4.695,4
4.5,5
3.3395,3
3.4739,2
3.3965,4
3.4329,2
3.3012,2
2.6196,2
3.0945,4
2.9529,5
2.6739,3
3.0677,3
3.2422,2
3.2268,3
3.2894,4
3.0268,2
3.1212,3
3.2651,4
3.0663,3
3.3502,2
2.9033,3
2.7378,2
4.0253,5
4.1194,5
3.9067,4
3.5743,4
3.2493,4
4.2278,4
3.6804,4
3.8931,5
4.1839,4
4.4927,5
4.4607,5
4.1899,3
2.8116,3
3.5484,4
3.3944,3
3.3877,3
3.0849,3
3.515,4
3.7256,3
3.1308,3
3.0606,3
3.8624,3
4.2622,5
4.4726,4
4.4321,5
3.202,3
4.1364,5
3.8747,4
4.0807,3
3.7794,4
3.9268,4
3.8635,4
3.866,3
3.714,2
3.6858,4
3.4252,3
3.6288,4
4.7273,3
4.2957,3
4.4486,5
4.7182,3
4.5898,3
4.329,3
4.7647,4
5.07,4
4.7245,3
4.8112,3
4.923,5
4.0181,3
4.432,5
4.9959,4
4.561,5
4.2115,5
4.9736,4
4.8577,3
4.674,5
4.4467,5
4.4333,5
4.8209,4
4.49,5
4.509,5
5.0214,4
4.2697,5
4.1472,5
3.3879,4
2.8148,4
3.1047,5
2.1116,4
3.1169,4
4.2228,4
4.214,5
4.3986,5
4.9014,3
4.6891,5
4.7108,3
4.3891,5
4.87,3
3.5365,5
2.5771,2
2.4768,1
2.9739,3
2.9984,2
2.7398,4
2.3769,1
2.4288,1
2.881,1
2.7676,3
2.3344,1
2.2818,2
2.6052,3
3.5919,4
3.8453,1
4.3929,5
4.5403,5
4.1157,3
3.0507,3
3.2857,3
3.0046,3
3.2681,3
3.0951,3
2.754,3
3.0496,3
3.0118,3
3.0648,2
3.1968,3
2.8818,3
3.6996,5
3.9324,4
3.8354,4
2.7288,4
3.1067,3
2.9226,3
3.1439,4
2.7122,2
2.3405,3
1.9731,2
2.9616,2
2.2995,3
2.7713,4
4.0326,4
3.8555,2
4.1835,4
3.7565,4
3.4634,3
3.3797,4
3.334,2
3.2722,3
3.4207,4
3.0915,3
3.4842,5
2.4628,3
2.5607,4
3.1138,3
1.603,2
4.225,5
4.0435,4
3.7431,2
3.3768,4
4.0593,3
3.4454,5
4.0629,4
3.8891,5
3.8883,4
4.019,4
3.2077,2
4.0491,3
3.8852,3
3.9503,4
4.0472,5
2.8889,2
3.1032,3
3.5824,3
4.075,4
3.2335,3
4.7351,5
3.5908,4
3.3672,2
3.9924,5
3.8831,5
3.9679,4
3.8258,5
3.697,4
3.7963,3
3.664,4
3.788,4
3.949,3
3.8346,1
3.6952,5
3.7833,4
3.5696,5
3.8107,5
3.8957,5
