4.0403,5,0.92105,0.95972
4.6307,4,0.39781,0.81205
4.486,4,0.23618,0.71996
4.5071,4,0.25715,0.67309
4.9458,4,0.89453,0.73576
4.3905,5,0.37144,0.71626
4.1265,3,1.2689,0.78804
4.7969,3,3.2289,0.97314
5,3,4,1.1341
3.7728,3,0.5972,1.1033
3.9014,4,0.0097144,1.0524
5,5,0,1.0076
3.5091,3,0.25918,0.97831
3.959,3,0.91977,0.97694
3.6692,2,2.7864,1.0376
3.7896,3,0.62348,1.0238
3.8359,2,3.3705,1.0885
3.9556,4,0.0019682,1.0579
3.9915,3,0.98306,1.0545
4.8951,2,8.3817,1.2147
4.0222,5,0.9561,1.2045
3.1014,5,3.6049,1.2444
5,4,1,1.2348
4.8979,3,3.6022,1.2694
4.2004,4,0.040173,1.2444
5,4,1,1.2359
5,4,1,1.2279
5,5,0,1.2058
3.3325,3,0.11059,1.1865
4.5156,2,6.3284,1.2537
3.5438,4,0.20813,1.236
3.4656,2,2.148,1.2438
3.4311,2,2.0482,1.2499
2.8324,2,0.69291,1.2396
3.2229,4,0.6039,1.2288
2.8954,5,4.4294,1.2614
2.444,3,0.30917,1.2476
2.279,3,0.51983,1.2366
3.2627,2,1.5944,1.2373
2.5521,3,0.20065,1.2238
3.1309,4,0.7554,1.2164
2.7492,2,0.56131,1.2073
3.1093,3,0.011956,1.1933
3.2633,4,0.54272,1.1849
1.0858,3,3.6642,1.2059
2.6855,2,0.46985,1.197
1.7583,3,1.5418,1.198
3.401,2,1.9629,1.2026
4.0083,5,0.98345,1.1986
3.3042,5,2.8758,1.2106
3.37,4,0.39686,1.2019
3.6894,4,0.096497,1.1911
4.2015,4,0.0406,1.1801
4.909,4,0.82626,1.1756
3.741,4,0.067086,1.1654
4.0535,5,0.89588,1.1619
3.6932,4,0.094151,1.1524
5,5,0,1.1424
4.2108,5,0.62283,1.1373
4.8087,3,3.2715,1.1517
2.7777,3,0.049422,1.1426
3.7297,4,0.073056,1.1339
3.3576,3,0.12785,1.1257
2.1745,3,0.68145,1.1217
3.3995,3,0.1596,1.1141
3.3709,4,0.39573,1.1083
3.4895,3,0.23958,1.1017
3.1189,3,0.014126,1.0936
3.8277,3,0.68512,1.0902
3.8624,3,0.74369,1.0873
4.3277,5,0.45196,1.0826
3.6715,4,0.10793,1.0757
5,5,0,1.0683
3.2395,3,0.057357,1.0614
4.2484,5,0.56486,1.0579
3.5719,4,0.18324,1.0521
5,3,4,1.0698
4.7909,4,0.62554,1.0667
3.9545,4,0.0020658,1.0599
4.2201,4,0.048435,1.0536
3.8747,3,0.76503,1.0515
4.1471,2,4.61,1.0717
2.8732,4,1.2697,1.0723
4.2172,3,1.4815,1.0742
4.1244,4,0.015474,1.0679
5,3,4,1.0834
4.8623,3,3.4683,1.0955
4.9687,5,0.00098075,1.0892
5,3,4,1.1037
